Index,Taxon,Name_in_tree,Clade,Subclade,Subclade_2,Max_age,Min_age,FL,FC,FML,FAP,TL_TLE,TC,HL,HC,HML,HAP,RC,RL_RLE,MtL,Source,Age/notes,Juvenile,Bonebed,Institution,Specimen,FCoval,HCoval,FCe,FCe_meserr,FCe_method,HCe,HCe_meserr,HCe_method,Mass,Mass_lse (log10)
66,Cathartesaura_anaerobica,Cathartesaura,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Late_Cenomanian,Turonian,1380,,226.8,101.1,,,,,,,,,,Femoral diameters pers. comm. J. Whitlock 17 May 2012; Gallina & Apesteguia 2005,,0,0,"MPCA, Museo Provincial Carlos Ameghino, Cipolletti, Río Negro, Argentina",MPCA- 232,534.16,,592.67,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,453.62,0.035169405,HC_for_quadrupedal_sauropodomorphs_using_FCe,15758.8202,0.219119008
67,Cedarosaurus_weiskopfae,Cedarosaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Barremian,Barremian,1395,590,,,,326,1380,445,185,,245,812,,"Tidwell et al. 1999; femoral circumference from Tidwell, pers. comm. 6 December 2011",,0,0,"DMNH, Denver Museum of Natural History, Denver, Colorado, USA",DMNH 39045,,,590,0,measured,445,0,measured,15295.71492,0.154064717
68,Cetiosauriscus_stewarti,Cetiosauriscus,Sauropodomorpha,Eusauropoda,Eusauropoda,Middle_Callovian,Middle_Callovian,1360,535,195,145,,,940,507,180,135,,,220,BMNH R3078 (RBJB; MTC); Woodward 1905,,0,0,"BMNH, Natural History Museum, London, United Kingdom",BMNH R3078,536.96,497.33,535,0,measured,507,0,measured,15581.81276,0.153549336
69,Cetiosaurus_oxoniensis,Cetiosaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Middle_Bathonian,Middle_Bathonian,1615,683,,,945,455,1260,594,,,,,,"Upchurch & Martin 2003; largest specimen is lectotype: OUMNH J13605–13613, J13615–16, J13619–J13688, J13899",,0,0,"OUMNH, Oxford University Museum of Natural History, Oxford, UK","OUMNH J13605–13613, J13615–16, J13619–J13688, J13899",,,683,0,measured,594,0,measured,27254.88961,0.154468152
70,Chinshakiangosaurus_chunghoensis,not,Sauropodomorpha,Sauropoda,Sauropoda,Hettangian,Sinemurian,,,,,,,,,,,,,,"Dong 1992; Upchurch et al. 2007; IVPP V14474, hindlimb mentioned but never described",,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP V14474,,,,,,,,,,
71,Chromogisaurus_novasi,Chromogisaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Carnian,Carnian,,56,,19.7,175,,,,,,,,,Ezcurra 2010; PVSJ 845,not a young juvenile,0,0,"PVSJ, Instituto y Museo de Ciencias Naturales, San Juan, Argentina",PVSJ 845,,,56,0,measured,,,,13.05282203,0.135
72,Chuanjiesaurus_anaensis,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Oxfordian,Early_Kimmeridgian,1360,,197,,,,1042,,157,,,665,,"Fang et al. 2000; only briefly described, no data; Sekiya 2011; LCD9701-I (referred specimen)",,0,0,"LCD, Lufeng Chuanjie Dinosaur",LCD9701-I,,,517.61,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,431.42,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,12051.19791,0.205739053
73,Chuanjiesaurus_anaensis,Chuanjiesaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Oxfordian,Early_Kimmeridgian,1375,,225,,890,,1065,,167,,,655,,"Fang et al. 2000; only briefly described, no data; Sekiya 2011; holotype",,0,0,"Lfch, Lufeng Museum, China",Lfch 1001,,,588.14,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,456.19,0.0325,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,15677.79182,0.207158192
74,Chubutisaurus_insignis,Chubutisaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Aptian,Aptian,1700,710,282,,1015,,1460,599,217,,,840,,MACN 18222 (DE); also Del Corro 1975; Salgado 1993; MACN 18222; pers. comm. From J. McIntosh in M. Lamanna PhD thesis,,0,0,"MACN, Museo Argentino de Ciencias Naturales, Buenos Aires, Argentina",MACN 18222,,,710,0,measured,599,0,measured,29173.99518,0.154015189
75,Chuxiongosaurus_lufengensis,Chuxiongosaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Hettangian,Sinemurian,,,,,,,,,,,,,,Lu et al. 2010; complete skull 340 mm long,,0,0,Chuxiong Museum,LT9401,,,,,,,,,,
76,Coloradisaurus_brevis,Coloradisaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Norian,Norian,,,,,,,,,,,,,,"Bonaparte 1978; PVL 3967; skull, vertebrae and appendicular fragments; skull length = 160 mm (snout to quadrate)",,0,0,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",PVL 3967,,,,,,,,,,
77,Comahuesaurus_windhauseni,Comahuesaurus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Late_Aptian,Albian,1217,555,204,130,,,696,402,140,73,,,,"Carballido et al. 2012; right femur (MOZ-Pv 6761), right humerus (MOZ-Pv 6762) - both measured from figures",at least three individuals represented by bonebed material,0,1,"MOZ, Museo Provincial de Ciencias Naturales ‘Prof. Dr. Juan A. Olsacher’, Zapala, Neuquén, Argentina",MOZ specimens,531.1,342.91,555,0,measured,402,0,measured,12331.49263,0.152014133
78,Daanosaurus_zhangi,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Late_Jurassic,Late_Jurassic,,,,,,,,,,,,,,"Ye et al. 2005; femur mentioned but not described or figured, humerus presumably not preserved",juvenile,1,0,"ZDM, Zigong Dinosaur Museum, Zigong, China",ZDM 0193,,,,,,,,,,
79,Dashanpusaurus_dongi,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,1114,468,170,112,672,,921,413,141,77,,688,,"Humerus and femur from pers. comm. Toru Seika 11 July 2012; Peng et al. 2005; ZDM 5028 includes a femur, 5027 includes a humerus",multiple individuals of similar sizes,0,0,"ZDM, Zigong Dinosaur Museum, Zigong, China","ZDM 5027, 5028",447.66,349.85,468,0,measured,413,0,measured,9822.38409,0.152971924
80,Datousaurus_bashanensis,Datousaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Bajocian,Callovian,,,,,,,,,,,,,,Dong & Tang 1984,,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP V.7262-7263,,,,,,,,,,
81,Daxiatitan_binglingi,Daxiatitan,Sauropodomorpha,Titanosauria,Titanosauria,Early_Cretaceous,Early_Cretaceous,1770,,303,,,,,,,,,,,You et al. 2008,,0,0,"GSLTZ, Fossil Research and Development Center of the Third Geology and Mineral Resources Exploration Academy of Gansu Province in Lanzhou",GSLTZ P03-001,,,782.96,0.0204,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
82,Demandasaurus_darwini,Demandasaurus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Late_Barremian,Early_Aptian,1080,,135,65,,,,,,,,,,"Torcida Fernández-Baldor et al. 2011; MDS-RVII,16 (PDM)",,0,0,"MDS, Museo de Dinosaurios de Salas de los Infantes, Salas de los Infantes, Burgos, Spain","MDS-RVII, 16",323.86,,359.93,0.0203,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,281.92,0.03510117,HC_for_quadrupedal_sauropodomorphs_using_FCe,4112.182902,0.215903699
83,Diamantinasaurus_matildae,not,Sauropodomorpha,Titanosauria,Titanosauria,Cenomanian,Cenomanian,1330,635,,,80,,1110,567,204,123,,,,"AODF 603, S. Poropat, pers. comm. 3 December 2011; Hocknull et al. 2009",,0,0,"AODF, Australian Age of Dinosaurs Museum, Winton, Queensland, Australia",AODF 603,,521.56,635,0,measured,567,0,measured,23076.78404,0.154178174
84,Dicraeosaurus_sattleri,Dicraeosaurus_sattleri,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Late_Kimmeridgian,Tithonian,1205,555,,,,,735,337,,,,,,HMN ??? (PDM),,0,1,"MB, Museum für Naturkunde, Berlin, Germany",HMN,,,555,0,measured,337,0,measured,10163.25245,0.15161933
85,Dinheirosaurus_lourinhanensis,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Late_Kimmeridgian,Late_Kimmeridgian,,,,,,,,,,,,,,Bonaparte & Mateus 1999; vertebrae and appendicular fragments only,,0,0,"ML, Lourinha Museum",ML 414,,,,,,,,,,
86,Diplodocus_longus,Diplodocus_longus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,1575,563,208,,1020,419,1032,460,162,,254,682,,McIntosh 2005; USNM 10865; YPM 1920 may be a larger individual (FL=1645; TL = 1090; Marsh 1878),,0,0,"USNM, United Stated National Museum, Washington DC, USA",USNM 10865;,,,563,0,measured,460,0,measured,14813.08052,0.152344304
87,Diplodocus_hayi,Diplodocus_hayi,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,1448,590,227,,935,444,936,470,188,,265,660,,McIntosh 2005,,0,0,"HMNS, Houston Museum of Natural Science, USA",HMNS 175 (= CM 662),,,590,0,measured,470,0,measured,16333.06301,0.152295992
88,Diplodocus_carnegiei,Diplodocus_carnegiei,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,1520,591,,174,,,,,,,,,,CM84; Hatcher 1901,,0,0,"CM, Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA",CM 84,,,591,0,measured,484.74,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,17008.54316,0.225046373
89,Diplodocus_lacustris,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,,,,,,,,,,,,,,YPM 1922; mandible only,,0,0,"YPM, Yale Peabody Museum, New Haven, Connecticut, USA",YPM 1922,,,,,,,,,,
90,Diplodocus_hallorum,Diplodocus_hallorum,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,,732,280,165,,,,,,,,,,Femoral measurements T. Williamson pers. comm. 18 May 2012; femur is poorly preserved so data are estimated; Gillette 1991; Herne & Lucas 2006; NMMNH 3690,,0,0,"NMMNH, New Mexico Museum of Natural History and Science, New Mexico, USA",NMMNH 3690,710.72,,732,0,measured,596.41,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,30378.8091,0.227772687
91,Dongbeititan_dongi,Dongbeititan,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Barremian,Early_Aptian,1160,,220,,680,,,,,,,,,Wang et al. 2007; D2867; measured from figure,,0,0,"DNHM, Dalian Natural History Museum",DNHM D2867,,,575.57,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
92,Dongyangosaurus_sinensis,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Cenomanian,Cenomanian,,,,,,,,,,,,,,Lu et al. 2008a; DYM 04888,,0,0,"DYM, Dongyang Museum",DYM 04888,,,,,,,,,,
93,Dystrophaeus_viaemalae,not,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Oxfordian,Oxfordian,,,,,,,765,,80,78,,,245,Cope 1877; USNM 2364,,0,0,"USNM, United Stated National Museum, Washington DC, USA",USNM 2364,,248.2,319.43,0.043960372,FC_for_quadrupedal_sauropodomorphs_using_HCe,260.37,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,3109.398579,0.216238538
94,Efraasia_minor,Efraasia,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Norian,Norian,230,82,22,,216,,175,58,,,,,112,"SMNS 12667 (P. Vincent, pers. comm. 5 December 2011); Galton 1973",juvenile,1,0,"SMNS, Staatliches Museum für Naturkunde, Stuttgart, Germany",SMNS 12667,,,82,0,measured,58,0,measured,37.24419749,0.135
95,Elaltitan_lilloi,not,Sauropodomorpha,Titanosauria,Titanosauria,Middle_Cenomanian,Middle_Cenomanian,,804,317,180,,,1300,600,260,132,402,730,,PVL 4628 (MTC; PDM),,0,0,"PVL, Fundación-Instituto Miguel Lillo, Universidad Nacional de Tucumán, Tucumán, Argentina",PVL 4628,795.59,632.28,804,0,measured,600,0,measured,35371.21392,0.152395488
96,Eomamenchisaurus_yuanmouensis,not,Sauropodomorpha,Eusauropoda,Eusauropoda,Middle_Jurassic,Middle_Jurassic,1100,420,,,700,,,,,,,,,Lu et al. 2008b; CXMVZA 165,,0,0,"CXMVZA, Chuxiong Museum, Yunnan, China",CXMVZA 165,,,420,0,measured,348.16,0.0351,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,6738.56296,0.219106916
97,Epachthosaurus_sciuttoi,Epachthosaurus,Sauropodomorpha,Titanosauria,Titanosauria,Cenomanian,Cenomanian,988,491,196,108,700,335,870,409,156,88,240,550,185,UNPSJB-PV 920 (PDM); Powell 1990 (original description; MACN 1317; vertebrae only); Martinez et al. 2004 (partial postcranium; UNPSJB-PV 920),,0,0,"UNPSJB, paleontología de vertebrados, Universidad Nacional de la Patagonia San Juan Bosco, Comodoro Rivadavia, Argentina",UNPSJB-PV 920,487.58,390.75,491,0,measured,409,0,measured,10415.82153,0.151369442
98,Erketu_ellisoni,Erketu,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Santonian,Santonian,,,,,710,,,,,,,,,Ksepka & Norell 2006; IGM 100/1803,,0,0,"IGM, Geological Institute of the Mongolian Academy of Sciences, Ulaan Baatar, Mongolia",IGM 100/1803,,,,,,,,,,
99,Eucnemesaurus_fortis,Eucnemesaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_2,Norian,Rhaetian,,237,,,,,,,,,,,,"BP/1/ 6234 (R. J. Butler pers. comm., 18 Nov 2011); Yates 2007; all four specimens lack the humerus; Yates 2007 reported ml shaft diameter = 92 mm, ap diameter = 83 mm in the holotype (TM 119)",,0,0,"BPI, Bernard Price Institute, Witswatersrand University, Johannesburg, South Africa",BP/1/ 6234,,,237,0,measured,199.98,0.0351,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,1428.950644,0.214768371
100,Euhelopus_zdanskyi,Euhelopus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Barremian,Aptian,,375,140,88,,,910,358,,,,,,"Wiman 1929; Wilson & Upchurch 2009; PMU 233 ('exemplar a' [femur], and 'c' [humerus, probably the same individual-circumference measured from section in Young 1935]); 'exemplar b' (PMU 234) has a slightly greater femoral circumference (400 mm) and preserves the tibia, ilium and pubis, but does not preserve a humerus (Wiman 1929).",,0,0,"PMU, Palaeontological Museum, Uppsala, Sweden","PMU 233, 234",362.81,,375,0,measured,358,0,measured,5924.141568,0.152862925
101,Europasaurus_holgeri,Europasaurus,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Kimmeridgian,Kimmeridgian,510,200,,,,,450,190,,,,,,"Sander et al. 2006; DFMMh/FV 415 (largest femur), 372 (largest humerus) (O. Mateus, pers. comm. 29 Feb. 2012). Is a bonebed, but the proportions are consistent with other Titanosauriformes and the number of specimens is very large","bonebed, but femur and humerus probably from similar sized individuals because of large sample size",0,0,"DFMMh/FV, Dinosaurier-Freilichtmuseum Münchehagen/Verein zur Förderung der Niedersächsischen Paläontologie (e.V.), Germany","DFMMh/FV 415 (largest femur), 372 (largest humerus)",,,200,0,measured,190,0,measured,1045.226583,0.151136445
102,Ferganasaurus_verzilini,Ferganasaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Callovian,Callovian,1080,,180,121,710,,890,,132,90,,580,,Alifanov & Averianov 2003; PIN N 3042/1,,0,0,"PIN, Paleontological Institute, Russian Academy of Sciences, Moscow, Russia",PIN N 3042/1,477.36,351.84,474.6,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,370.21,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,8752.525589,0.197037928
103,Fukuititan_nipponensis,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Barremian,Barremian,1140,,165,96,,,910,,140,88,,600,,Azuma & Shibata 2010; diameters measured from figures,,0,0,"FPDM, Fukui Prefectural Dinosaur Museum, Fukui, Japan",FPDM-V8468,417.17,362.81,436.51,0.0201,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,381.85,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,8019.602431,0.195285278
104,Fusuisaurus_zhaoi,not,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Early_Cretaceous,Early_Cretaceous,,,,,,,,,,,,,,Mo et al. 2006; NHMG 6729 (ilium measured from figure),,0,0,"NHMG, Natural History Museum of Guangxi",NHMG 6729,,,,,,,,,,
105,Futalognkosaurus_dukei,Futalognkosaurus,Sauropodomorpha,Titanosauria,Titanosauria,Late_Turonian,Early_Coniacian,1945,800,,,,,1510,643,,,,965,,"DE direct measurements of limb bones-femoral circumference slightly approximated; Calvo et al. 2007a,b; MUCPv-323, vertebrae and pelvis",,0,0,"MUCPv, Museo de Geología y Paleontología de la Universidad Nacional del Comahue, Neuquén, Argentina",,,,800,0,measured,643,0,measured,38138.57274,0.15178729
106,Galveosaurus_herreroi,Galveosaurus,Sauropodomorpha,Eusauropoda,Eusauropoda,Late_Tithonian,Late_Tithonian,,,,,,,1530,,240,,,,,"Sanchez-Hernandez 2005; MPG CLH 1, 4; humeral shaft diameter measured from figure",,0,0,"MPG CLH 1, 4","MPG CLH 1, 4 (humeri)",,,,,,633.22,0.0328,HC_for_quadrupedal_dinosaurs_using_HML_and_equation_.17.,,
107,Giraffatitan_brancai,Giraffatitan,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Late_Kimmeridgian,Tithonian,,730,,,1180,,2130,654,240,146,,1240,,"Janensch 1961; Anderson et al. 1985; HMN SII (mounted skeleton) - the femoral circumference estimate of Anderson et al (1985) is probably based on the restored femur of HMN SII, and is similar to that of another specimen with a similar tibia length (HMN St 291; tibia length = 1060; femoral circumference = 1830 [MTC])",,0,0,"MB, Museum für Naturkunde, Berlin, Germany",HMN SII,,615.35,730,0,measured,654,0,measured,34003.14293,0.152918572
108,Glacialisaurus_hammeri,Glacialisaurus,Sauropodomorpha,Sauropodomorpha,Sauropodomorpha_1,Sinemurian,Pliensbachian,,,,,,,,,,,,,,Smith & Pol 2007,,0,0,"FMNH, Field Museum of Natural History, Chicago, USA","FMNH PR1823, 1822(distal femur)",,,,,,,,,,
109,Gobititan_shenzhouensis,Gobititan,Sauropodomorpha,Titanosauriformes,Titanosauriformes,Albian,Albian,,655,240,185,920,445,,,,,,,318,IVPP 12579 (RBJB); You et al. 2003a; IVPP 12579 caudal series and partial left hindlimb including distal half of femur,,0,0,"IVPP, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China",IVPP 12579,670.39,,655,0,measured,535.52,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,22475.88764,0.229561195
110,Gondwanatitan_faustoi,Gondwanatitan,Sauropodomorpha,Titanosauria,Titanosauria,Turonian,Maastrichtian,,,,,551,,715,,111,50,,,,MN 4111-V (PDM); Kellner & de Azevedo 1999; MN 4111-V; measurements not provided; very distal end of tibia incomplete,,0,0,"MN, Museu Nacional/Universidade Federal do Rio de Janeiro",MN 4111-V,,262.06,336.78,0.043706941,FC_for_quadrupedal_sauropodomorphs_using_HCe,275.04,0.0203,HC_for_all_dinosaurs_using_HCoval_and_equation_.5.,3604.623764,0.215666041
111,Gongxianosaurus_shibeiensis,Gongxianosaurus,Sauropodomorpha,Sauropoda,Sauropoda,Toarcian,Toarcian,1150,,270,,710,,920,,,,,547,363,He et al. 1998; Luo & Wang 2000,bonebed but two individuals of comparable size,0,0,??,not given in text,,,700.81,0.0202,FC_for_quadrupedal_sauropodomorphs_using_FML_and_equation_.19.,,,,,
112,Haplocanthosaurus_delfsi,not,Sauropodomorpha,Macronaria,Macronaria,Kimmeridgian,Tithonian,1745,755,,,,,,,,,,,,McIntosh & Williams 1988; CM 10380,,0,0,"CM, Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA",CM 10380,,,755,0,measured,614.56,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,33036.64601,0.230140928
113,Haplocanthosaurus_priscus,Haplocanthosaurus_priscus,Sauropodomorpha,Diplodocoidea,Diplodocoidea,Kimmeridgian,Tithonian,1275,518,207,,,,,,,,,,,Hatcher 1903; McIntosh & Williams 1988; CM 572,,0,0,"CM, Carnegie Museum of Natural History, Pittsburgh, Pennsylvania, USA",CM 572,,,518,0,measured,426.61,0.0352,HC_for_quadrupedal_sauropodomorphs_using_FC_and_equation_.22.,11897.51586,0.223239421
